resource_id,name,description,category,subcategory,tags,relevance_score
475,Job Search Resource 475,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",2.21
476,Scholarships Resource 476,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",4.07
477,Mental Health Resource 477,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",1.64
478,Online Courses Resource 478,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.14
479,Job Search Resource 479,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.46
480,Diet Plans Resource 480,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",2.39
481,Investments Resource 481,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",0.52
482,Savings Plans Resource 482,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",2.63
483,Budgeting Resource 483,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",1.78
484,Job Search Resource 484,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",4.85
485,Resume Building Resource 485,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",1.33
486,Budgeting Resource 486,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",4.39
487,Coding Bootcamps Resource 487,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",1.04
488,Workshops Resource 488,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",1.51
489,Budgeting Resource 489,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",3.58
490,Investments Resource 490,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",1.99
491,Tech News Resource 491,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",4.96
492,Fitness Programs Resource 492,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",0.87
493,Workshops Resource 493,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.38
494,Budgeting Resource 494,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",1.92
495,Savings Plans Resource 495,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",2.57
496,Tech News Resource 496,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",3.65
497,Workshops Resource 497,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.42
498,Resume Building Resource 498,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",3.85
499,Resume Building Resource 499,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",1.36
500,Budgeting Resource 500,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",3.23
